127.0.0.1 - - [11/Dec/2016:23:10:52 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:11:53 +0200] "GET /messenger/ HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:12:38 +0200] "GET /messenger/webapi/myresource HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:33:35 +0200] "GET /messenger/webapi/messages HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:51:37 +0200] "GET /messenger/webapi/messages HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:51:38 +0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:51:38 +0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:52:13 +0200] "GET /messenger/webapi/messages HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:52:14 +0200] "GET /messenger/webapi/messages HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:52:15 +0200] "GET /messenger/webapi/messages HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:52:15 +0200] "GET /messenger/webapi/messages HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:52:16 +0200] "GET /messenger/webapi/messages HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:52:16 +0200] "GET /messenger/webapi/messages HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:52:52 +0200] "GET /messenger/webapi/messages HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:52:56 +0200] "GET /messenger/webapi/messages HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:52:57 +0200] "GET /messenger/webapi/messages HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:52:59 +0200] "GET /messenger/webapi/messages HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:53:00 +0200] "GET /messenger/webapi/messages HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:53:00 +0200] "GET /messenger/webapi/messages HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:53:01 +0200] "GET /messenger/webapi/messages HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:53:18 +0200] "GET /messenger/webapi/messages HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:54:26 +0200] "GET /messenger/webapi/messages HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:54:32 +0200] "GET /messenger/webapi/messages HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [11/Dec/2016:23:54:49 +0200] "GET /messenger/webapi/messages HTTP/1.1" 200 12
