127.0.0.1 - - [22/Jan/2017:08:13:43 +0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Jan/2017:08:14:38 +0200] "GET /rest/webapi/messages HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [22/Jan/2017:08:14:49 +0200] "GET /rest/webapi/messages HTTP/1.1" 401 32
0:0:0:0:0:0:0:1 - - [22/Jan/2017:08:15:16 +0200] "GET /rest/webapi/messages HTTP/1.1" 401 32
0:0:0:0:0:0:0:1 - - [22/Jan/2017:08:15:17 +0200] "GET /rest/webapi/messages HTTP/1.1" 401 32
0:0:0:0:0:0:0:1 - - [22/Jan/2017:08:15:18 +0200] "GET /rest/webapi/messages HTTP/1.1" 401 32
0:0:0:0:0:0:0:1 - - [22/Jan/2017:08:15:36 +0200] "GET /rest/webapi/messages HTTP/1.1" 401 32
0:0:0:0:0:0:0:1 - - [22/Jan/2017:08:15:50 +0200] "GET /rest/webapi/messages HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [22/Jan/2017:08:15:55 +0200] "GET /rest/webapi/messages HTTP/1.1" 401 32
0:0:0:0:0:0:0:1 - - [22/Jan/2017:08:16:04 +0200] "GET /rest/webapi/messages HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [22/Jan/2017:08:21:20 +0200] "GET /rest/webapi/messages HTTP/1.1" 404 164
0:0:0:0:0:0:0:1 - - [22/Jan/2017:08:44:17 +0200] "GET /rest/webapi/messages HTTP/1.1" 401 164
0:0:0:0:0:0:0:1 - - [22/Jan/2017:08:44:33 +0200] "GET /rest/webapi/messages HTTP/1.1" 401 196
0:0:0:0:0:0:0:1 - - [22/Jan/2017:08:45:20 +0200] "GET /rest/webapi/message HTTP/1.1" 404 148
0:0:0:0:0:0:0:1 - - [22/Jan/2017:08:51:06 +0200] "GET /rest/webapi/message HTTP/1.1" 404 148
0:0:0:0:0:0:0:1 - - [22/Jan/2017:08:51:43 +0200] "GET /rest/webapi/messages HTTP/1.1" 401 196
0:0:0:0:0:0:0:1 - - [22/Jan/2017:08:51:55 +0200] "GET /rest/webapi/messages HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [22/Jan/2017:08:57:11 +0200] "GET /rest/webapi/messages HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [22/Jan/2017:09:01:15 +0200] "GET /rest/webapi/messages HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [22/Jan/2017:09:01:48 +0200] "GET /rest/webapi/messages HTTP/1.1" 401 164
0:0:0:0:0:0:0:1 - - [22/Jan/2017:09:02:19 +0200] "GET /rest/webapi/messages HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [22/Jan/2017:09:25:55 +0200] "GET /rest/webapi/messages HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [22/Jan/2017:09:26:10 +0200] "GET /rest/webapi/messages HTTP/1.1" 401 164
0:0:0:0:0:0:0:1 - - [22/Jan/2017:09:26:24 +0200] "GET /rest/webapi/message HTTP/1.1" 404 148
0:0:0:0:0:0:0:1 - - [22/Jan/2017:09:27:23 +0200] "GET /rest/webapi/messages HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [22/Jan/2017:09:27:44 +0200] "PUT /rest/webapi/messages/99 HTTP/1.1" 500 159
0:0:0:0:0:0:0:1 - - [22/Jan/2017:09:34:08 +0200] "PUT /rest/webapi/messages/99 HTTP/1.1" 400 148
0:0:0:0:0:0:0:1 - - [22/Jan/2017:09:35:20 +0200] "PUT /rest/webapi/messages/99 HTTP/1.1" 400 150
0:0:0:0:0:0:0:1 - - [22/Jan/2017:09:36:11 +0200] "DELETE /rest/webapi/messages/99 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [22/Jan/2017:09:36:41 +0200] "DELETE /rest/webapi/messages/1001 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [22/Jan/2017:09:47:56 +0200] "DELETE /rest/webapi/messages/1001 HTTP/1.1" 200 13
0:0:0:0:0:0:0:1 - - [22/Jan/2017:09:48:02 +0200] "DELETE /rest/webapi/messages/ HTTP/1.1" 500 166
0:0:0:0:0:0:0:1 - - [22/Jan/2017:09:48:13 +0200] "GET /rest/webapi/messages/ HTTP/1.1" 200 1565
0:0:0:0:0:0:0:1 - - [22/Jan/2017:09:48:39 +0200] "DELETE /rest/webapi/messages/ HTTP/1.1" 500 166
0:0:0:0:0:0:0:1 - - [22/Jan/2017:09:51:22 +0200] "DELETE /rest/webapi/messages/ HTTP/1.1" 400 157
0:0:0:0:0:0:0:1 - - [22/Jan/2017:09:51:27 +0200] "DELETE /rest/webapi/messages/ HTTP/1.1" 400 157
0:0:0:0:0:0:0:1 - - [22/Jan/2017:09:52:03 +0200] "DELETE /rest/webapi/messages/ HTTP/1.1" 405 157
